bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_ses-047_acq-undistorted_run-2_T1w	0.6619494098153131	1.2896968895240402	0.5370916174262828	482.1522094525805	5.432876636915476	5.02090513893789	5.953774851141574	5.323949920666964	0.26968090283927154	0.3766203816097218	0.3536987155510067	0.8096367120742798	0.6491843581199646	0.0	0.0010731627556535594	4.642595680247638	4.536058464966174	4.615241806188087	252	288	192	1.583239045100348	5.096442633057491	5.526398522559642	9.899513889521089	6.449891520294054	13.497389580541064	12.748052204163528	18.29687551165546	0.7986109852790833	0.7986109852790833	0.800000011920929	254.15324016722997	33.82052664628803	35.27907130527468	22.81159856915474	4292845.0	0.0	81.62704548239708	95.45232192049131	-0.6082351867981339	174.80730037659717	348.3050450386703	332.96688754856586	794709.9781263884	19.582245759665966	707.5718134492636	210.30726793238975	-0.006316080308432337	93.71953167043671	701.2809534937155	696.7844008728862	1109844.9021783264	477.60066763311625	948.6739200130105	136.71969589974313	0.478424911568077	70.28964875282753	930.195691787179	944.551341958344	1042298.1217413055	749.759528875351	1067.060619816184	95.41386570992123	0.18872414486111955	0.5220338479279156	0.5378683582289772	0.2821228477025058
sub-001_ses-047_acq-undistorted_run-3_T1w	0.6595328841211009	1.348779232502968	0.5455696365090646	364.0876552227904	5.3606633060277025	5.00546583215739	5.866986663553873	5.209537422371843	0.26802779701407137	0.3769358912735385	0.35503631171239025	0.7628157734870911	0.6081685990095138	0.0	0.0008850553766432568	4.622424145289204	4.516684975105261	4.594843014751496	252	287	192	1.6021458686128607	5.1202116141727565	5.608096989559441	10.101933485892706	6.283476110920726	13.206711091713018	12.458100143412958	17.88411322760513	0.7986109852790833	0.7986109852790833	0.800000011920929	233.34568151144384	34.70528607647348	36.443852779127006	23.408359736204147	4311339.0	0.0	88.74597921967506	79.26772094923841	-0.760420582743436	172.1916116871184	347.54873960889574	332.86173075437546	790743.6481881394	27.717041335999966	704.5659045875072	207.75980939154053	0.24338430120764087	93.81868543749972	703.516688505454	699.6141361817718	1112047.5753603932	479.80706591159105	950.4822991788387	136.63767717801448	0.5889270670139042	69.60126053798253	932.9415347185808	947.3954825103283	1047438.778702412	755.5626882985234	1065.5948374420404	93.78353476484543	0.19107632227553809	0.5258302186797409	0.5416562939224152	0.2813877995850273
sub-001_ses-excl027_acq-undistorted_T1w	0.6043479216888554	1.6068331756975995	0.5363051282945149	10137.548415604091	4.688190719636688	4.331933899946329	5.241600825885405	4.491037433078327	0.2754276640200289	0.37846059798526605	0.34611173799470507	0.6272808015346527	0.3208010226488114	0.0	0.0016580469916406269	4.6642425563433205	4.568974300797709	4.647558642600555	252	288	192	1.6490481571607065	5.074941897301615	5.615485806299428	10.12246736443596	25.917386059421997	55.784271064042365	53.09820923798204	77.59297059048176	0.7986109852790833	0.7986109852790833	0.800000011920929	440.26667608924464	8.068515236638575	7.545745598740515	5.644943155348301	4854863.0	0.0	17.306652069091797	26.49249079550261	-0.8011619874789142	164.27697481802016	335.12407226522373	319.19280368834734	808507.9931571914	40.15684112906456	679.1170834377408	193.56172523285758	0.03117139261955959	91.00884266916555	687.2570619286729	687.0267642661929	1110957.4619341316	459.3023209273815	936.6887411847711	135.37622084434474	0.0058425142754825465	71.31364709153225	934.3549377133354	955.6178918853402	1015998.5478942206	747.6676506176591	1056.0775988176465	94.40558187992787	0.18204302315742127	0.5229260805747333	0.5450025110432767	0.4777605029235813
sub-001_ses-excl029_acq-undistorted_T1w	0.5963037854597828	1.650305239847789	0.5307640872844608	14122.38998988025	4.688261922984805	4.344505728014148	5.2368676077483185	4.4834124331919485	0.27565501506683565	0.37930661234894325	0.34503837258422104	0.5944182872772217	0.292930269241333	0.0	0.0015604950672338288	4.661805272647513	4.569811012542702	4.648278527331214	252	288	192	1.6600783802348271	5.2655531596395	5.76189865059087	10.360064411898282	9.40825676098459	19.82084564315995	18.909225970459698	27.498575507234552	0.7986109852790833	0.7986109852790833	0.800000011920929	540.5391675410443	0.0	4.858193322217805	0.0	4923763.0	0.0	12.494215473532677	22.811678199526323	-0.8027532787592238	166.6175538901014	342.7576892228802	327.5930411592126	809522.9750801546	41.052422270178795	688.2065089270473	197.335766023122	-0.26174434982519434	89.67944812320162	691.2878516043902	690.1566642522812	1113919.212468679	472.40033742785454	933.033635944128	131.07005732174335	0.22850478261600005	69.73434681929832	937.14369082098	957.493211209774	1013282.8159265306	754.1151482239366	1055.9264749139547	92.4215044106423	0.18123493273936533	0.5234128752596213	0.5443913858931847	0.4911186953338874
sub-001_ses-pilot001_acq-morphobox_T1w	0.5892656996026928	1.7572817096961506	0.5135904782731019	-1.0	3.9784454267968825	3.8407362803906464	4.29739	3.79721	0.27324702731867634	0.3804694394593247	0.346283533221999	0.5776146650314331	0.2194190919399262	0.0	0.0022251483703932566	8.021020229951876	7.929422471021599	8.022187785232118	176	248	256	1.8600047540529077	5.077840889736648	5.59548469262684	9.848608434090966	55.129958310329954	105.11908932861837	103.5270666860719	150.33215241926737	1.100000023841858	1.0	1.0	193.62065808854908	0.0	1.767059711520681	0.0	2952225.0	0.0	8.052576258778572	4.150832771543578	-0.807699721514163	151.9382150441612	365.3791652313306	349.29403655231	376039.8268229315	77.02307246625423	680.4607489705086	187.7917630873481	-0.6560122293965396	94.011101345154	670.9194071804462	666.016665995121	523598.2383034086	460.11626318097115	913.1910359114408	131.16126409971835	-0.5648471505626276	74.79129190158322	928.1324219302587	952.478941604495	476551.9359614754	736.1065786331892	1048.7487546354532	96.71193129809556	0.2071310413286331	0.5427733266279035	0.5591541594266758	0.5247378996160503
sub-001_ses-pilot002_acq-morphobox_T1w	0.5508304150828777	1.8368864388960444	0.5189172434381064	-1.0	3.8793317513502643	3.811945254050793	4.13639	3.68966	0.27238307532595535	0.3821723623129996	0.3454445623610451	0.5654084384441376	0.2293762996792793	0.0	0.0016846446735739977	8.031754042937413	7.946113687890054	8.039646867366784	176	248	256	1.8324254939197908	5.145992818105275	5.6508985652432395	9.974277383704655	59.143132156202036	111.94147701097391	110.96193090127944	161.80118353666236	1.1003069877624512	1.0	1.0	250.0571170851064	0.0	1.5618572661446228	0.0	2699766.0	0.0	7.87458162009716	3.8798445606825362	-0.8137028214814102	152.99946646534121	366.3328220694075	350.2570756226778	374312.0910438516	71.98590138554573	682.9671383202076	191.1437102991948	-0.6015192433483194	91.37320053017243	668.8738441813435	662.9390928298235	525185.8468275248	463.0541648566723	908.9208867251873	128.8261536918489	-0.47144830653322156	71.27536120702482	933.5586454387887	958.2179250866175	474714.0633549107	739.4196184277534	1052.2814206033945	96.0688056854693	0.20940591160090063	0.5403065066470613	0.5555757798657394	0.5357869180111516
sub-001_ses-pilot003_acq-morphobox_T1w	0.5606203474889733	1.7840191132200638	0.5125661252333525	-1.0	3.7662948217122163	3.7056544651366483	3.99545	3.59778	0.2724316582573142	0.3810791639733905	0.34648917776929533	0.5660754442214966	0.20471412539482114	0.0	0.0012205805854003933	8.009656508395034	7.918964369030118	8.006415468805178	176	248	256	1.872818282377547	5.392236485540067	5.724365412381645	9.90804146922732	56.91712332112615	108.25762510360919	106.23009969208523	153.51555065152039	1.100000023841858	1.0	1.0	6.633097595240017	0.0	2.271528800327591	0.0	2917440.0	0.0	11.09805016592145	4.073832254186994	-0.8045441336222798	154.03193570165178	370.4055446727491	353.9275375343859	375685.7089211291	82.3191820718348	686.6616023220122	188.98099715403526	-0.5368351694722269	85.85806732122022	679.7234504484029	673.1779899708927	525511.5972505398	478.97939874976873	914.6037977859378	124.841955889369	-0.48091129440190983	71.91574235920714	930.6747804952242	954.605181094259	477811.6949272067	735.9286474511027	1050.4425488822162	96.34640560640213	0.20665174606714562	0.5413191177784273	0.5612883628643177	0.5280959789338369
sub-001_ses-pilot004_acq-morphobox_T1w	0.5671825116427506	1.7658545574835136	0.5133647074125559	11662.258129552549	3.859942396928851	3.7805271907865525	4.13404	3.66526	0.2725809835615402	0.3804364270884663	0.34698258934999354	0.6186967492103577	0.2534183859825134	0.0	0.0012250095541061923	8.00866340421711	7.918345407429283	8.011574662891846	176	248	256	1.8347555720387572	5.033139347581104	5.595801531247868	9.91950967412374	48.76962690400216	92.99623677280357	91.70980201532342	133.36354236916452	1.100000023841858	1.0	1.0	6.258715936368187	0.0	2.629881016607013	0.0	2744670.0	0.0	12.320161879062653	4.6987922520015335	-0.8236609406962887	153.93827004716897	366.16078601507365	349.7872275598347	375671.38438314555	75.74467944726348	684.3768870122731	190.6448833516154	-0.5595820812333665	92.47111537962257	673.0414733548289	666.9908690974116	524317.8646093451	459.93920120224357	922.0263253636658	132.5197231747279	-0.3648740324765245	71.74172304306	932.9239303758338	956.514673255384	478211.75195272313	739.4123469851911	1053.9006896875799	96.42751553080507	0.20969849809612298	0.5397580978474774	0.5564130035410689	0.5105342850962579
sub-001_ses-pilot006_acq-original_T1w	0.708774632010076	1.444084230526334	0.5099872356495898	24345.455463728194	4.327204102186301	4.283412436172181	4.3001374359229585	4.398062434463763	0.25681463201114996	0.38100564295088896	0.3621797250379611	0.4844343066215515	0.20069006681442264	0.0	0.0028982812307107382	8.162530928082115	8.046957270490868	8.111756319715344	240	320	320	2.274647303700131	8.108420396313049	7.7887727183026625	12.983250454894806	69.52403449374351	114.9392993385543	108.39627354206361	140.725486793893	0.800000011920929	0.800000011920929	0.800000011920929	5.92006127596464	0.0	2.4782053500356866	0.0	6708674.0	0.0	9.804354675114155	4.398420033426764	0.04172041120730974	157.14549180908125	472.656794406923	466.76677730306983	765925.2431171273	102.54825025051832	799.187397301197	205.20388890000592	-0.11448710912811055	64.42965164172331	776.4952653945063	771.6733749471605	1136313.1353570507	622.7090131491423	949.609163172543	95.16934219969596	-0.32360977620476916	58.274786545867634	933.8376761243279	944.7953133545816	1080166.6236048064	797.1117005906999	1036.3909511752427	72.77028809534512	0.20159170574682603	0.5208544956120432	0.5543103133630325	0.44036640139597266
sub-001_ses-pilot006_acq-undistorted_T1w	0.7003228984684824	1.4625415240858592	0.51729293949595	23377.55262468338	4.445995767082834	4.3818749347049755	4.428587434008905	4.527524932534622	0.25990839163709606	0.3800143486442135	0.3600772597186905	0.4806053787469864	0.20560767352581022	0.0	0.0011010463815022337	8.150121169625141	8.036795459462828	8.101436458346662	240	320	320	2.2906107092515207	8.13560589602476	7.861725061083615	13.158958577974568	71.21048903799463	118.07297192440289	111.3352781940626	144.72237361979023	0.800000011920929	0.800000011920929	0.800000011920929	4.462923180615607	0.0	2.335096896386736	0.0	6695100.0	0.0	11.571681946516037	4.282331689851216	0.04974089798859316	156.85669783539106	472.1362795352769	465.4709062986076	776383.273391492	104.59973930940032	796.6276471465826	203.2080809933197	-0.05153688507538945	64.39702711913907	776.470268163952	771.7898583970964	1135156.8222856114	623.3003825619817	949.4978311471641	94.86564717024622	-0.3278317661833494	57.59581873643266	934.7696836879287	945.984999127686	1075601.9065539658	799.1072932779789	1035.4175696000457	71.88901414768245	0.1958363580618641	0.51854240182355	0.5518562432036767	0.45463573076749175
sub-001_ses-pilot008_acq-original_T1w	0.7117524850673381	1.4294577837710614	0.5013894803769359	-1.0	4.244558270084486	4.219612437122875	4.187424937602506	4.326637435528078	0.25610704925237443	0.38147839319873234	0.36241455754889323	0.46179139614105225	0.18042164444923403	0.0	0.001392666350383186	8.191953760488278	8.074981422832407	8.13982678059987	240	320	320	2.295810311866769	8.254025309871736	7.848954086449307	12.997026637609416	63.5641681417702	104.19152115692009	98.26243126311249	127.0316044906472	0.800000011920929	0.800000011920929	0.800000011920929	7.308603023431941	0.0	2.3326762440890585	0.0	6696728.0	0.0	13.889473378658295	4.845998258955439	0.11017379033482477	156.44108503332947	476.5168844408976	470.1797185242176	761029.5245149729	101.68778085708618	800.4124704301357	204.79889265394195	-0.36194121965535864	62.65131606440479	775.3809756600238	770.6974152624607	1133574.1090932721	624.2686944007874	945.2838867008686	93.37226945491602	-0.3542983700684337	57.596777616977704	928.8130240673006	939.643918722868	1076925.3685670716	793.04684060812	1031.0619071424007	72.2968036197915	0.20224047557815888	0.5182935042052456	0.5530854150633536	0.43602664010468545
sub-001_ses-pilot008_acq-undistorted_T1w	0.7096612982236846	1.4321680653866646	0.5068672301067291	-1.0	4.339449935337157	4.297874935956672	4.288012436103636	4.432462433951163	0.25587576181911303	0.3815353921211393	0.36258884605974767	0.46584853529930115	0.1834041327238083	0.0	0.0010554426773018313	8.193109166432299	8.075847895807273	8.140390716736036	240	320	320	2.299818095141782	8.234024858047265	7.8455872143964	13.002918690000156	74.93789128597102	123.53385925164399	116.39099004989527	150.70121961207076	0.800000011920929	0.800000011920929	0.800000011920929	7.494259185496386	0.0	1.8850087980244445	0.0	6673662.0	0.0	9.514281716197729	4.0835549822137756	0.14608540347648846	155.40700826978488	474.26807538274716	467.0981482900679	760315.1244035419	102.4520722143352	797.2804742865264	203.1020810309448	-0.401920574436855	62.59869363107033	774.570938541968	770.0034777782857	1133703.040345065	622.9200325347483	944.8130916282535	93.5147939745453	-0.3749552617931413	57.57384685023974	928.2484652309812	939.3413587957621	1077404.837563873	792.2170797251165	1029.8291196674109	72.24077495695606	0.20220827257874632	0.5199686591819823	0.5541463005381213	0.44668828520942155
sub-001_ses-pilot009_acq-original_T1w	0.7203189673860687	1.4194147293321029	0.5091927175011481	25730.275208308176	4.302487435887941	4.25801243655067	4.321799935600162	4.327649935512991	0.2582532628189638	0.3798012872731262	0.36194544990791006	0.454229012131691	0.1806138336658477	0.0	0.001023345994339146	8.214138592168602	8.09763045343169	8.164364064588273	240	320	320	2.3393580530621265	8.049422057160786	7.895024186433381	13.29629244907723	70.9254087512955	115.91749231693215	109.39457171303214	141.34081407086876	0.800000011920929	0.800000011920929	0.800000011920929	6.208481607850176	0.0	2.4830784291515493	0.0	6735801.0	0.0	9.833302237093449	4.390981271818158	0.08678622719007789	154.25838967597514	481.9191055681847	475.36992529034615	765207.5173644403	114.95598567649722	806.1903076954186	203.20515453073378	-0.21308892164756887	65.04955496237115	780.9638720064086	776.9245272278786	1125355.772677372	624.3678668066859	955.3755502067506	96.51925026667253	-0.26647182659926694	57.69069388871977	936.5649208069507	947.3216074220836	1072448.7122532087	803.1934917755425	1036.8983082771301	71.2470163684486	0.19941356701395196	0.5160811608825738	0.5485065094285595	0.43569367273980275
