rater_id	dataset	subject	rating	artifacts	time_sec	confidence	comments
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-042_task-bht_dir-PA_bold	2.2	"[""head-motion"",""wrap-around"",""ghost-aliasing"",""uncategorized""]"	203.844	3.3	wrap around eyes that induces high std close to occipital lobe, SD, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-043_task-bht_dir-AP_bold	1.75	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	322.238	3.2	aliasing ghost visible in GM on echo 1!, SD, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-044_task-bht_dir-LR_bold	2.7	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	253.735	3.4	WS, SD, aliasing ghost visible in the bg of avg BOLD in echo 1, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-045_task-bht_dir-LR_bold	2.85	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	219.738	3.1	WS, SD, Aliasing ghost faintly visible in bg of avg BOLD echo 1-2, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-046_task-bht_dir-LR_bold	3.15	"[""ghost-aliasing"",""uncategorized""]"	229.644	3.35	WS, SD, aliasing ghost faintly visible in avg BOLD echo 1
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-047_task-bht_dir-RL_bold	2.85	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	207.282	3.2	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1-4, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot004_task-rest_bold	1.45	"[""head-motion"",""ghost-aliasing"",""inu"",""uncategorized""]"	377.341	1.8	WS, HM ringing, aliasing ghost visible on GM in echo 1, dark deflection throughout the majority of the carpetplot, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot005_task-rest_acq-fa80_bold	3.0	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	346.896	2.95	WS light, SD, HM ringing (but FD is tiny)
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot013_task-rest_dir-AP_bold	1.6	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	208.859	3.0	WS light, aliasing ghost visible in GM on echo 1, SD, HM ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot014_task-rest_dir-AP_bold	1.6	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	193.873	2.65	WS light, aliasing ghost visible in GM on echo1 , FD peak with some deflections visible in carpet plot, SD
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot015_task-rest_dir-LR_bold	2.9	"[""ghost-aliasing"",""uncategorized""]"	217.927	3.4	WS, SD, aliasing ghost visible in bg of avg BOLD echo 1
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot016_task-rest_dir-RL_bold	2.4	"[""head-motion"",""ghost-aliasing"",""uncategorized""]"	274.05	2.9	WS, SD, FD peak but no effect on carpetplot, HM ringing, first half of carpetplot deflections, aliasing ghost visible in bg of avg BOLD echo 1-4
